route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
dd85ebc66a19f753d039b69a9e025d8a,166563,1644584,Väätsa kool,Türi bussijaam - Tehnika - Väätsa Kool,A1>B2>C,34579,0
dd85ebc66a19f753d039b69a9e025d8a,166563,1644585,Türi bussijaam,Väätsa kool - Türi bussijaam,C>A1,34577,0
dd85ebc66a19f753d039b69a9e025d8a,166563,1644582,Väätsa kool,Türi bussijaam - Väätsa kool,A1>C,34580,0
dd85ebc66a19f753d039b69a9e025d8a,166563,1644583,Türi bussijaam,Väätsa kool - Tehnika - Türi bussijaam,C>B2>A1,34578,0
dd85ebc66a19f753d039b69a9e025d8a,166564,1646317,Väätsa kool,Türi bussijaam - Väätsa kool,A1>B,35690,0
dd85ebc66a19f753d039b69a9e025d8a,166564,1646318,Türi bussijaam,Väätsa kool - Türi bussijaam,B>A1,34575,0
dec716c3b0094ca783b2c61dcd03e589,166565,1646320,Türi bussijaam,Vahastu -Änari - Türi,C1>A1,38033,0
dec716c3b0094ca783b2c61dcd03e589,166566,1646322,Türi bussijaam,Vahastu -Änari - Türi,C1>A1,38033,0
dec716c3b0094ca783b2c61dcd03e589,166565,1646319,Vahastu,Türi - Änari - Vahastu,A1>C1,47551,0
dec716c3b0094ca783b2c61dcd03e589,166566,1646321,Vahastu,Türi - Änari - Vahastu,A1>C1,47551,0
5f033037ce1ddbe0b6f5051533add2ab,166567,1646324,Türi bussijaam,Käru - Türi bussijaam,B3>A1,29920,0
5f033037ce1ddbe0b6f5051533add2ab,166567,1646323,Käru,Türi bussijaam - Käru,A1>B3,29919,0
5f033037ce1ddbe0b6f5051533add2ab,166568,1646325,Kolu,Türi bussijaam - Kolu,A1>B2,29917,0
5f033037ce1ddbe0b6f5051533add2ab,166568,1646326,Türi bussijaam,Kolu - Türi bussijaam,B2>A2,29918,0
dec9fd43dc4347fdd70f30c4c8698044,166569,1646327,Villevere,Türi bussijaam - Võhma - Villevere,A2>C1,29925,0
dec9fd43dc4347fdd70f30c4c8698044,166569,1646328,Türi bussijaam,Villevere - Võhma - Türi bussijaam,C1>A2,29926,0
71fad5392c80ae8ab9bf406deb6b285b,166578,1627698,Abja-Paluoja,Abja-Paluoja - Halliste - Abja-Paluoja,A>B>A,49218,0
54543d093c1954b120de620d9cdfc55b,166694,1624917,Tartu bussijaam,Rukki - Elva - Luke - Tartu,B>C>A,61454,0
da014cc47524c8a481a6c893696b8c80,166933,1470064,Elva,Tartu - Elva - Erumäe - Karijärve -  Elva,A>C>B,61055,0
cd14e316ea1ef634a270bdd371a2e72a,166934,1470065,Tartu bussijaam,Tartu - Arbimäe - Elva - Luke -Aarike - Tartu,A>C>A,61469,0
cfffbf1c30eb5ca465e386935e8da66f,166937,1342711,Jõgeva,Jõgeva - Siimusti - Kiigemetsa kool - Jõgeva,A>B1,58350,0
6b96d0cb584e2669dd60e85cd0ea374d,167459,1336380,Valga bussijaam,Valga-Lüllemäe-Rebasemõisa-Koobassaare-Vähero-Valga,A>C>B,58098,0
855d6d40959fbcf46172d3b401e0b130,167461,1105432,Valga bussijaam,Valga - Lüllemäe - Rebasemõisa - Koobassaare - Valga,A>C1>A,49335,0
52245ec0851f7309135907d56dccd6aa,167467,1107661,Valga bussijaam,Valga - Lüllemäe - Valga,A>C2>A,47150,0
52245ec0851f7309135907d56dccd6aa,167468,1107662,Valga bussijaam,Valga - Rebasemõisa - Koobassaare - Valga,A>C1>A,49336,0
8390d9ef5b91c3b5dae74cc2681fe025,167536,1105701,Valga bussijaam,Valga - Koobassaare - Rebasemõisa - Vähero - Valga,A>C3>A,49337,0
