fare_id,route_id,origin_id,destination_id
33,748cb45a7228434ca9ff97c559f6f340,26619,32570
1,748cb45a7228434ca9ff97c559f6f340,21830,31912
33,748cb45a7228434ca9ff97c559f6f340,32175,24783
1,748cb45a7228434ca9ff97c559f6f340,26279,32570
5,748cb45a7228434ca9ff97c559f6f340,32678,24783
1,748cb45a7228434ca9ff97c559f6f340,30606,152904
9,748cb45a7228434ca9ff97c559f6f340,114421,139934
12,748cb45a7228434ca9ff97c559f6f340,25044,25994
27,748cb45a7228434ca9ff97c559f6f340,93571,25823
39,748cb45a7228434ca9ff97c559f6f340,21832,116144
9,748cb45a7228434ca9ff97c559f6f340,30633,25783
1,748cb45a7228434ca9ff97c559f6f340,25994,152904
7,748cb45a7228434ca9ff97c559f6f340,93571,30633
14,748cb45a7228434ca9ff97c559f6f340,32272,21834
5,748cb45a7228434ca9ff97c559f6f340,93570,25989
1,748cb45a7228434ca9ff97c559f6f340,116144,24783
5,748cb45a7228434ca9ff97c559f6f340,93570,32268
16,748cb45a7228434ca9ff97c559f6f340,32495,30119
9,748cb45a7228434ca9ff97c559f6f340,25783,24783
14,748cb45a7228434ca9ff97c559f6f340,25786,25994
5,748cb45a7228434ca9ff97c559f6f340,93571,24783
11,748cb45a7228434ca9ff97c559f6f340,114421,25192
9,748cb45a7228434ca9ff97c559f6f340,106879,25786
1,748cb45a7228434ca9ff97c559f6f340,116556,25786
1,748cb45a7228434ca9ff97c559f6f340,30606,25994
1,748cb45a7228434ca9ff97c559f6f340,106879,116556
5,748cb45a7228434ca9ff97c559f6f340,32329,30606
1,748cb45a7228434ca9ff97c559f6f340,32495,154360
1,748cb45a7228434ca9ff97c559f6f340,114421,21830
9,748cb45a7228434ca9ff97c559f6f340,21842,30606
35,748cb45a7228434ca9ff97c559f6f340,21830,116144
26,748cb45a7228434ca9ff97c559f6f340,32272,106880
1,748cb45a7228434ca9ff97c559f6f340,32339,24964
1,748cb45a7228434ca9ff97c559f6f340,32272,32339
6,748cb45a7228434ca9ff97c559f6f340,106879,25994
5,748cb45a7228434ca9ff97c559f6f340,32495,32570
1,748cb45a7228434ca9ff97c559f6f340,25783,25823
5,748cb45a7228434ca9ff97c559f6f340,154360,32268
33,748cb45a7228434ca9ff97c559f6f340,116556,25994
35,748cb45a7228434ca9ff97c559f6f340,32495,106878
5,748cb45a7228434ca9ff97c559f6f340,154360,25989
30,748cb45a7228434ca9ff97c559f6f340,32175,21842
33,748cb45a7228434ca9ff97c559f6f340,32678,21842
9,748cb45a7228434ca9ff97c559f6f340,21832,31912
1,748cb45a7228434ca9ff97c559f6f340,25786,30631
1,748cb45a7228434ca9ff97c559f6f340,30606,31922
13,748cb45a7228434ca9ff97c559f6f340,24957,106878
1,748cb45a7228434ca9ff97c559f6f340,32495,93571
20,748cb45a7228434ca9ff97c559f6f340,106881,30606
5,748cb45a7228434ca9ff97c559f6f340,24957,32570
2,748cb45a7228434ca9ff97c559f6f340,93570,24964
21,748cb45a7228434ca9ff97c559f6f340,32678,30633
1,748cb45a7228434ca9ff97c559f6f340,154360,24957
16,748cb45a7228434ca9ff97c559f6f340,25786,31922
25,748cb45a7228434ca9ff97c559f6f340,30119,32570
1,748cb45a7228434ca9ff97c559f6f340,32175,30633
27,748cb45a7228434ca9ff97c559f6f340,32272,25783
12,748cb45a7228434ca9ff97c559f6f340,21832,26619
6,748cb45a7228434ca9ff97c559f6f340,21832,26279
1,748cb45a7228434ca9ff97c559f6f340,30119,106878
39,748cb45a7228434ca9ff97c559f6f340,116556,31922
1,748cb45a7228434ca9ff97c559f6f340,32570,32268
1,748cb45a7228434ca9ff97c559f6f340,32570,25989
14,748cb45a7228434ca9ff97c559f6f340,106879,30631
13,748cb45a7228434ca9ff97c559f6f340,25044,152904
19,748cb45a7228434ca9ff97c559f6f340,32678,25823
22,748cb45a7228434ca9ff97c559f6f340,116556,30631
37,748cb45a7228434ca9ff97c559f6f340,114421,25044
25,748cb45a7228434ca9ff97c559f6f340,24964,32268
22,748cb45a7228434ca9ff97c559f6f340,32175,25823
37,748cb45a7228434ca9ff97c559f6f340,106878,32268
26,748cb45a7228434ca9ff97c559f6f340,106879,31922
8,748cb45a7228434ca9ff97c559f6f340,32272,32175
23,748cb45a7228434ca9ff97c559f6f340,24964,25989
29,748cb45a7228434ca9ff97c559f6f340,106878,25989
26,748cb45a7228434ca9ff97c559f6f340,139934,30606
1,748cb45a7228434ca9ff97c559f6f340,30631,26279
1,748cb45a7228434ca9ff97c559f6f340,25823,30606
28,748cb45a7228434ca9ff97c559f6f340,32692,25783
1,748cb45a7228434ca9ff97c559f6f340,26279,25192
33,748cb45a7228434ca9ff97c559f6f340,93570,30633
1,748cb45a7228434ca9ff97c559f6f340,32678,24964
21,748cb45a7228434ca9ff97c559f6f340,116556,26279
1,748cb45a7228434ca9ff97c559f6f340,106879,31912
1,748cb45a7228434ca9ff97c559f6f340,116556,26619
26,748cb45a7228434ca9ff97c559f6f340,26619,25192
1,748cb45a7228434ca9ff97c559f6f340,106880,21842
24,748cb45a7228434ca9ff97c559f6f340,106879,26279
